id;region;price;year;manufacturer;model;condition;cylinders;fuel;odometer;transmission;drive;size;type;paint_color;state
7316957328;asheville;38990;2020;tesla;model 3 standard range;good;;electric;9665;other;;;sedan;white;nc
7316957433;rhode island;38990;2020;tesla;model 3 standard range;good;;electric;9665;other;;;sedan;white;ri
7316957458;akron / canton;38990;2020;tesla;model 3 standard range;good;;electric;9665;other;;;sedan;white;oh
7316962366;cincinnati;38990;2020;tesla;model 3 standard range;good;;electric;9665;other;;;sedan;white;oh
7316967481;north jersey;38990;2020;tesla;model 3 standard range;good;;electric;9665;other;;;sedan;white;nj
7316967597;south jersey;38990;2020;tesla;model 3 standard range;good;;electric;9665;other;;;sedan;white;nj
7316969756;portland;91550;2020;tesla;model s performance;;;electric;17999;automatic;;;sedan;black;or
7316970710;central NJ;40995;2013;tesla;model s;;;electric;4730;automatic;;;;;nj
7316972449;detroit metro;38990;2020;tesla;model 3 standard range;good;;electric;9665;other;;;sedan;white;mi
7316977280;boston;38990;2020;tesla;model 3 standard range;good;;electric;9665;other;;;sedan;white;ma
7316977389;nashville;38990;2020;tesla;model 3 standard range;good;;electric;9665;other;;;sedan;white;tn
7316977428;worcester / central MA;38990;2020;tesla;model 3 standard range;good;;electric;9665;other;;;sedan;white;ma
7316977570;lehigh valley;38990;2020;tesla;model 3 standard range;good;;electric;9665;other;;;sedan;white;pa
7316982027;albany;38990;2020;tesla;model 3 standard range;good;;electric;9665;other;;;sedan;white;ny
7316982060;outer banks;38990;2020;tesla;model 3 standard range;good;;electric;9665;other;;;sedan;white;nc
7316986631;memphis;38990;2020;tesla;model 3 standard range;good;;electric;9665;other;;;sedan;white;tn
7316986797;dayton / springfield;38990;2020;tesla;model 3 standard range;good;;electric;9665;other;;;sedan;white;oh
7316986856;oneonta;38990;2020;tesla;model 3 standard range;good;;electric;9665;other;;;sedan;white;ny
7317000198;new york city;38990;2020;tesla;model 3 standard range;good;;electric;9665;other;;;sedan;white;ny
7317000387;new hampshire;38990;2020;tesla;model 3 standard range;good;;electric;9665;other;;;sedan;white;nh
7317000431;kalamazoo;59900;2020;tesla;y performance;like new;other;electric;23700;automatic;4wd;;SUV;blue;mi
7317000441;columbia;38990;2020;tesla;model 3 standard range;good;;electric;9665;other;;;sedan;white;sc
7317000546;portland;17921;2018;nissan;leaf s;excellent;;electric;18797;automatic;fwd;;hatchback;grey;or
7317003378;portland;39990;2019;tesla;model 3;excellent;other;electric;13325;automatic;rwd;compact;sedan;blue;or
7317004892;pittsburgh;38990;2020;tesla;model 3 standard range;good;;electric;9665;other;;;sedan;white;pa
7317017802;portland;44999;2014;tesla;model s p85d;;;electric;54893;automatic;4wd;;hatchback;;or
7317031749;central NJ;39995;2014;tesla;model s;;;electric;45561;automatic;;;;;nj
7317069752;seattle-tacoma;57991;2015;tesla;model s p85d 4dr liftbac;;;electric;16750;automatic;4wd;;sedan;;wa
7317082299;seattle-tacoma;44991;2014;tesla;model s p85d 4dr liftbac;;;electric;46401;automatic;4wd;;sedan;;wa
